cityLabel,population,gps
A Ponte do Val,23,Point(-7.975602777 42.343866666)
A Pica,23,Point(-7.872788888 42.460747222)
O Souto,23,Point(-7.896702777 42.434844444)
Q20542618,23,Point(-7.054305555 42.408075)
Q12398057,23,Point(-7.952236111 42.365702777)
Q12395733,23,Point(-6.892547222 42.476202777)
Q12384222,23,Point(-7.177083333 41.992916666)
Brownell,23,Point(-99.7458 38.6397)
Hillman,23,Point(-93.893888888 46.004166666)
Berkley,23,Point(-94.113888888 41.946111111)
Hepburn,23,Point(-95.016666666 40.848611111)
Ludden,23,Point(-98.126666666 46.009166666)
Conway,23,Point(-97.674722222 48.233888888)
Pioneer,23,Point(-94.390833333 42.654444444)
Bankston,23,Point(-90.96 42.509166666)
York,23,Point(-99.574166666 48.312222222)
Bettles,23,Point(-151.523 66.9133)
Haynes,23,Point(-102.471944444 45.973611111)
Q104290487,24,Point(-7.805132788 42.625047311)
Q111940765,24,Point(-7.170961111 42.177763888)
Q110284113,24,Point(-7.313813562 41.996865396)
Q61379602,24,Point(-7.852667 42.538361)
Q20548655,24,Point(-6.942511111 42.368619444)
Q12402151,24,Point(-7.829608 42.542694)
Oak Hill,24,Point(-97.3422 39.2464)
Russell Springs,24,Point(-101.176 38.9111)
Sarles,24,Point(-98.996944444 48.945277777)
Union,24,Point(-84.3136 39.9003)
Kramer,24,Point(-100.7075 48.691111111)
Gardena,24,Point(-100.498611111 48.700277777)
Ambrose,24,Point(-103.483055555 48.954166666)
Amidon,24,Point(-103.322222222 46.483055555)
Lake Buena Vista,24,Point(-81.521666666 28.3775)
Edge Hill,24,Point(-82.6267 33.1531)
Willis,24,Point(-95.5056 39.7242)
Elliott,24,Point(-97.814166666 46.4025)
Johnson,24,Point(-96.295277777 45.572777777)
Jerome,24,Point(-91.467777777 33.399166666)
Granite,24,Point(-118.420277777 44.808888888)
Lonerock,24,Point(-119.884166666 45.089444444)
Delos,24,Point(25.271111111 37.393333333)
Cotoriño,25,Point(-7.833272222 42.314066666)
Q65132522,25,Point(-7.717947222 42.184227777)
Vilar,25,Point(-7.866319444 42.483255555)
Q47529497,25,Point(-7.378611111 43.163888888)
Q12402233,25,Point(-6.976683333 42.395961111)
Q12381367,25,Point(-7.338297222 41.902533333)
Hamlin,25,Point(-95.6275 39.9161)
Radium,25,Point(-98.8942 38.1736)
Webber,25,Point(-98.0347 39.9358)
Mildred,25,Point(-95.17333 38.0225)
Strathcona,25,Point(-96.168888888 48.553888888)
Knox,25,Point(-99.6925 48.341944444)
Scottsville,25,Point(-97.9536 39.5428)
Lone Elm,25,Point(-95.2425 38.0797)
Bankston,25,Point(-90.96 42.509166666)
Delphos,25,Point(-94.339444444 40.663055555)
Elliott,25,Point(-97.814166666 46.4025)
Lonerock,25,Point(-119.884166666 45.089444444)
Kamo,25,Point(139.040222222 37.666305555)
Marion,25,Point(-88.886388888 44.6725)
Pydna,25,Point(22.616833333 40.3955)
Baxeles,26,Point(-7.035186111 42.433308333)
Q12400708,26,Point(-7.268216666 41.888725)
Q12397080,26,Point(-7.246666666 42.038888888)
Q12386299,26,Point(-6.964602777 42.410719444)
Russell Springs,26,Point(-101.176 38.9111)
Radium,26,Point(-98.8942 38.1736)
Dycusburg,26,Point(-88.185 37.16)
Correll,26,Point(-96.159444444 45.230833333)
Ambrose,26,Point(-103.483055555 48.954166666)
Galt,26,Point(-93.605 42.693055555)
Hepburn,26,Point(-95.016666666 40.848611111)
Boy River,26,Point(-94.122222222 47.168055555)
Balfour,26,Point(-100.533611111 47.951111111)
Scottsville,26,Point(-97.9536 39.5428)
Coburg,26,Point(-95.265833333 40.916666666)
Delphos,26,Point(-94.339444444 40.663055555)
Q113515047,27,Point(-7.031722222 42.273936111)
Q113515040,27,Point(-7.031152777 42.255116666)
Outariz,27,Point(-7.919180555 42.350702777)
Agro Maior,27,Point(-7.875577777 42.470522222)
Tallo,27,Point(-8.845741666 43.248461111)
Q12381348,27,Point(-6.871080555 42.398108333)
Fruxil,27,Point(-7.4885 42.6935)
Springbrook,27,Point(-103.4588015 48.2525229)
Antler,27,Point(-101.281944444 48.971388888)
Dunlap,27,Point(-96.3661 38.5758)
Bushong,27,Point(-96.2578 38.6428)
Lone Elm,27,Point(-95.2425 38.0797)
Cayuga,27,Point(-97.386666666 46.074722222)
Kupreanof,27,Point(-132.9825 56.8225)
Leal,27,Point(-98.316388888 47.105555555)
Bucyrus,27,Point(-102.788888888 46.064444444)
Bemposta,28,Point(-7.846727777 42.300563888)
Cachaxúas,28,Point(-7.913513888 42.36345)
Sistís,28,Point(-7.969819444 42.343122222)
Q20550271,28,Point(-6.874716666 42.450702777)
Q20548234,28,Point(-6.805611111 42.3719)
Sarles,28,Point(-98.996944444 48.945277777)
Edmond,28,Point(-99.8208 39.6272)
Cedar Point,28,Point(-96.8217 38.2608)
Mildred,28,Point(-95.17333 38.0225)
Luverne,28,Point(-97.935555555 47.251666666)
Jolley,28,Point(-94.718055555 42.479166666)
Concord,28,Point(-83.4908 38.6872)
Florence,28,Point(-96.051944444 44.237222222)
Egeland,28,Point(-99.098055555 48.628055555)
Leith,28,Point(-101.636111111 46.358888888)
Lupus,28,Point(-92.4528 38.8467)
Los Ybanez,28,Point(-101.919 32.7181)
Udell,28,Point(-92.7414 40.7803)
A Fonte,29,Point(-7.89005 42.348711111)
Vilanova,29,Point(-7.902194444 42.356)
Q31283160,29,Point(-7.843936 42.559097)
Q12398980,29,Point(-7.248261111 41.900263888)
Danville,29,Point(-97.8928 37.2867)
Blanchard,29,Point(-95.220833333 40.579722222)
Brownell,29,Point(-99.7458 38.6397)
Kramer,29,Point(-100.7075 48.691111111)
Gardena,29,Point(-100.498611111 48.700277777)
Maloy,29,Point(-94.413055555 40.675)
Bay Lake,29,Point(-81.566666666 28.391388888)
Atomic City,29,Point(-112.813 43.4425)
Johnson,29,Point(-96.295277777 45.572777777)
Hampden,29,Point(-98.655 48.539444444)
Q112229986,30,Point(-7.905413888 42.439372222)
Q61378999,30,Point(-7.865319444 42.444836111)
Venda da Capela,30,Point(-7.236388888 42.068055555)
Fortuna,30,Point(-103.774166666 48.911111111)
Lawton,30,Point(-98.364722222 48.303055555)
Fairdale,30,Point(-98.231944444 48.489444444)
Brinsmade,30,Point(-99.322777777 48.183333333)
Monango,30,Point(-98.593888888 46.1725)
Webber,30,Point(-98.0347 39.9358)
Dunlap,30,Point(-96.3661 38.5758)
Freeport,30,Point(-97.8564 37.1972)
Millville,30,Point(-91.076111111 42.704166666)
Sibley,30,Point(-97.965277777 47.214722222)
Waldo,30,Point(-98.7978 39.1203)
Gillett Grove,30,Point(-95.036666666 43.014444444)
